"country","year","population","BiocapPerCap","footprint","deficit","id","ratio","overshoot_day"
"Kazakhstan",1992,16433400.3954479,4.473112735,10.30041086,-5.827298125,"KAZ",-2.30273894751586,72.0936179444065
"Kazakhstan",1993,16297700.1945978,3.890199201,7.911749091,-4.02154989,"KAZ",-2.03376451776557,92.316318481965
"Kazakhstan",1994,16123400.3900518,3.647099763,7.187709112,-3.540609349,"KAZ",-1.97080134161178,101.008012167604
"Kazakhstan",1995,15925900.3899369,3.061982132,5.981913368,-2.919931236,"KAZ",-1.95360820084211,118.871502858935
"Kazakhstan",1996,15704700.1930804,3.212171862,4.141814127,-0.929642265,"KAZ",-1.28941236039593,171.943966799476
"Kazakhstan",1997,15465599.6102457,3.329809966,4.531150217,-1.201340251,"KAZ",-1.36078342032233,155.755423116409
"Kazakhstan",1998,15238299.8062527,2.941823696,3.535501133,-0.593677437,"KAZ",-1.20180590699572,198.232391112819
"Kazakhstan",1999,15060000.0030057,3.632775208,2.435359878,1.19741533,"KAZ",1.4916789957821,284.756230769013
"Kazakhstan",2000,14956799.8059013,3.476988715,2.32228239,1.154706325,"KAZ",1.49722907084858,294.61411749708
"Kazakhstan",2001,14942799.801666,3.868764896,3.310351284,0.558413612,"KAZ",1.16868711184822,205.241045738862
"Kazakhstan",2002,15010900.3888155,3.843987625,3.563785261,0.280202364,"KAZ",1.07862491884682,188.20932194344
"Kazakhstan",2003,15139299.8043502,3.766741499,4.079561078,-0.312819579,"KAZ",-1.08304780139545,162.016383497725
"Kazakhstan",2004,15294500.0006858,3.463258355,4.127018751,-0.663760396,"KAZ",-1.191657792437,161.515686549574
"Kazakhstan",2005,15451799.8063166,3.557056855,4.63898333,-1.081926475,"KAZ",-1.30416338440022,141.093667601692
"Kazakhstan",2006,15603099.6109206,3.705149203,5.174307102,-1.469157899,"KAZ",-1.39651787841634,125.207582772774
"Kazakhstan",2007,15755200.1958628,3.963578966,5.727052891,-1.763473925,"KAZ",-1.44491958993314,112.179114002946
"Kazakhstan",2008,15916000.0013337,3.472865327,5.995493119,-2.522627792,"KAZ",-1.7263822608405,107.572247374449
"Kazakhstan",2009,16098400.3897475,3.866441714,5.77415904,-1.907717326,"KAZ",-1.49340386667823,109.798043244912
"Kazakhstan",2010,16310599.6078928,3.303640698,5.608156481,-2.304515783,"KAZ",-1.69756853401158,112.122731155951
"Kazakhstan",2011,16554300.788157,4.255880554,6.924492503,-2.668611949,"KAZ",-1.62704108319018,90.0151825516455
"Kazakhstan",2012,16821499.9978658,3.212666417,5.530192735,-2.317526318,"KAZ",-1.72137158889967,110.830522260101
"Kazakhstan",2013,17099499.9942326,3.570745449,6.512849875,-2.942104426,"KAZ",-1.82394684560895,94.7532133214063
"Kazakhstan",2014,17371599.6138885,3.446860231,5.813344162,-2.366483931,"KAZ",-1.68656220794888,105.609752300578
