"country","year","population","BiocapPerCap","footprint","deficit","id","ratio","overshoot_day"
"Bosnia and Herzegovina",1992,4301169.9222314,1.562824741,1.860407078,-0.297582337,"BIH",-0.190413136152426,399.156662052623
"Bosnia and Herzegovina",1993,4141169.92302957,1.594639044,1.796525914,-0.20188687,"BIH",-0.126603485137301,406.553309175782
"Bosnia and Herzegovina",1994,3992260.01093743,1.614730018,1.103890578,0.51083944,"BIH",0.4627627230452,657.688550142559
"Bosnia and Herzegovina",1995,3879280.03111704,1.615400064,1.124070858,0.491329206,"BIH",0.43709801579242,632.592691288423
"Bosnia and Herzegovina",1996,3810649.90149942,1.654454001,1.424517532,0.229936469,"BIH",0.161413601447508,499.930640444923
"Bosnia and Herzegovina",1997,3779350.09820405,1.769247537,2.368637492,-0.599389955,"BIH",-0.338782418202486,297.956617086827
"Bosnia and Herzegovina",1998,3775899.90292837,1.798069824,2.646103624,-0.8480338,"BIH",-0.471635623137259,264.861450184717
"Bosnia and Herzegovina",1999,3784389.89233947,1.779108258,2.622124747,-0.843016489,"BIH",-0.473842125829937,264.474037291209
"Bosnia and Herzegovina",2000,3792879.88131825,1.674635802,2.944374404,-1.269738602,"BIH",-0.758217756959454,232.367588800867
"Bosnia and Herzegovina",2001,3799750.00039083,1.704879319,3.019883921,-1.315004602,"BIH",-0.771318277237359,224.98214668948
"Bosnia and Herzegovina",2002,3808350.0970805,1.747525603,3.389361049,-1.641835446,"BIH",-0.939520084855982,197.895005832958
"Bosnia and Herzegovina",2003,3817310.05894937,1.623769723,3.0162832,-1.392513477,"BIH",-0.857580642654181,219.129203676896
"Bosnia and Herzegovina",2004,3825870.1172638,1.780566594,3.028648591,-1.248081997,"BIH",-0.700946550951515,220.090992030241
"Bosnia and Herzegovina",2005,3833379.88305913,1.729419757,3.037622619,-1.308202862,"BIH",-0.75644032192624,215.474814988537
"Bosnia and Herzegovina",2006,3838500.00087809,1.737086019,3.079986283,-1.342900264,"BIH",-0.773076442121156,210.345898134352
"Bosnia and Herzegovina",2007,3840419.92023937,1.672592376,3.151201671,-1.478609295,"BIH",-0.884022513602507,203.876419643338
"Bosnia and Herzegovina",2008,3839749.99987701,1.724308658,3.465681495,-1.741372837,"BIH",-1.00989624444617,186.095769875276
"Bosnia and Herzegovina",2009,3837729.97959454,1.731659221,3.255812495,-1.524153274,"BIH",-0.880169297975383,194.726004518073
"Bosnia and Herzegovina",2010,3835260.01021851,1.660176046,3.13703267,-1.476856624,"BIH",-0.889578337188999,200.444778127432
"Bosnia and Herzegovina",2011,3832310.0592551,1.669513218,3.386970712,-1.717457494,"BIH",-1.02871750844836,184.031546675323
"Bosnia and Herzegovina",2012,3828419.92208453,1.619363152,3.244432132,-1.62506898,"BIH",-1.00352348390786,188.912612823674
"Bosnia and Herzegovina",2013,3823530.02895983,1.69881295,3.234271285,-1.535458335,"BIH",-0.903841915026607,190.804480720278
"Bosnia and Herzegovina",2014,3817550.04926412,1.612422655,3.290272952,-1.677850297,"BIH",-1.04057725162458,186.594194767425
