"country","year","population","BiocapPerCap","footprint","deficit","id","ratio","overshoot_day"
"Ghana",1961,6866540.04171662,2.865611931,1.127634535,1.737977396,"GHA",1.54125953932768,1011.70431660702
"Ghana",1962,7085459.96025259,2.793614117,1.12443042,1.669183697,"GHA",1.48447046611333,1001.50905407751
"Ghana",1963,7303430.17416645,2.692772786,1.13701865,1.555754136,"GHA",1.36827505724181,971.474359034232
"Ghana",1964,7513290.03880897,2.675257962,1.17898512,1.496272842,"GHA",1.26911939769213,923.233221005083
"Ghana",1965,7710549.80189176,2.577012821,1.065101337,1.511911484,"GHA",1.41950021091891,1004.25691450663
"Ghana",1966,7890990.23589598,2.502209846,1.114700128,1.387509718,"GHA",1.2447381587209,950.87938800759
"Ghana",1967,8057439.94369279,2.489691183,1.144978699,1.344712484,"GHA",1.17444322763384,911.276797533439
"Ghana",1968,8221019.53121334,2.405892148,1.164459709,1.241432439,"GHA",1.06610168647313,879.858264077323
"Ghana",1969,8397349.60640103,2.394108292,1.186209777,1.207898515,"GHA",1.0182840253048,847.421382596063
"Ghana",1970,8596980.47430357,2.404480737,1.297016682,1.107464055,"GHA",0.853854880974162,763.613529363192
"Ghana",1971,8827269.53639492,2.380965477,1.306705119,1.074260358,"GHA",0.822113864865148,749.13719011275
"Ghana",1972,9083580.07853957,2.274197982,1.242903917,1.031294065,"GHA",0.829745630374158,768.694130310477
"Ghana",1973,9350110.3483596,2.225164686,1.269111299,0.956053387,"GHA",0.753325094497228,746.5978557712
"Ghana",1974,9604280.27270847,2.201101767,1.410459756,0.790642011,"GHA",0.56055618883998,655.139491901861
"Ghana",1975,9831410.15605382,2.109384721,1.3241265,0.785258221,"GHA",0.593038671154153,686.647044795191
"Ghana",1976,10023499.9990331,2.050365693,1.244217498,0.806148195,"GHA",0.647915810539556,722.980447305234
"Ghana",1977,10189900.3882866,1.934605267,1.228465366,0.706139901,"GHA",0.574814618303454,720.128812024335
"Ghana",1978,10354499.9972902,1.913368743,1.148994903,0.76437384,"GHA",0.665254336638048,767.542048811531
"Ghana",1979,10550799.8051828,1.896736127,1.115267279,0.781468848,"GHA",0.700700926136721,775.555367654911
"Ghana",1980,10801999.9954733,1.832189088,1.093952076,0.738237012,"GHA",0.674834839660713,776.808016964363
"Ghana",1981,11117599.6057067,1.786184609,1.066300752,0.719883857,"GHA",0.675122638940156,790.791072369073
"Ghana",1982,11488099.6071823,1.704212046,1.02737491,0.676837136,"GHA",0.658802497510889,814.748232651002
"Ghana",1983,11895099.6089506,1.613840439,1.086745863,0.527094576,"GHA",0.485020960281516,751.782344110983
"Ghana",1984,12311200.1910472,1.653364027,1.13320692,0.520157107,"GHA",0.459013380522127,720.827821009561
