"country","year","population","BiocapPerCap","footprint","deficit","id","ratio","overshoot_day"
"Bangladesh",1971,66417500.0478651,0.428109086,0.486575652,-0.058466566,"BGD",-0.136569419724304,2011.817250471
"Bangladesh",1972,67578499.9840617,0.429208711,0.500336057,-0.0711273459999999,"BGD",-0.165717489749917,1909.54227062569
"Bangladesh",1973,68658500.0274698,0.451647361,0.554136068,-0.102488707,"BGD",-0.226922039353889,1709.89721715477
"Bangladesh",1974,69838000.0125814,0.422326897,0.504236212,-0.081909315,"BGD",-0.193947626826518,1832.5695710066
"Bangladesh",1975,71247203.0536169,0.435736533,0.531233369,-0.095496836,"BGD",-0.219161955505544,1711.50298185317
"Bangladesh",1976,72930203.1219967,0.431626964,0.516468387,-0.084841423,"BGD",-0.196561957112225,1741.72306513816
"Bangladesh",1977,74848499.98281,0.437102263,0.500988392,-0.063886129,"BGD",-0.146158338325681,1765.81599317469
"Bangladesh",1978,76948398.4508354,0.441784629,0.525905897,-0.084121268,"BGD",-0.190412396194046,1676.91957747574
"Bangladesh",1979,79141898.3568941,0.429705434,0.506561144,-0.07685571,"BGD",-0.17885664139734,1707.49696509464
"Bangladesh",1980,81364203.146135,0.42660109,0.524409918,-0.097808828,"BGD",-0.229274636874463,1620.47047825565
"Bangladesh",1981,83599601.4961982,0.411622729,0.491489414,-0.079866685,"BGD",-0.194028813714928,1715.64463669003
"Bangladesh",1982,85868203.0697644,0.41225857,0.506667294,-0.094408724,"BGD",-0.229003680869509,1652.07402183839
"Bangladesh",1983,88181203.1459267,0.396172992,0.48885691,-0.092683918,"BGD",-0.233948079095448,1671.2383115693
"Bangladesh",1984,90559499.9837629,0.396651713,0.492452168,-0.095800455,"BGD",-0.241522947171966,1658.7337014232
"Bangladesh",1985,93015203.1189485,0.407143839,0.518063828,-0.110919989,"BGD",-0.272434331807648,1561.11076699434
"Bangladesh",1986,95550796.8131304,0.400224676,0.498826933,-0.098602257,"BGD",-0.246367165563103,1598.0116411224
"Bangladesh",1987,98149296.7874622,0.38875045,0.49359046,-0.10484001,"BGD",-0.26968470390195,1588.88853500017
"Bangladesh",1988,100780000.086547,0.356100407,0.48990642,-0.133806013,"BGD",-0.375753540974581,1558.58364527387
"Bangladesh",1989,103401000.10319,0.377025846,0.498430767,-0.121404921,"BGD",-0.322006965835366,1528.81198707022
"Bangladesh",1990,105983000.039521,0.374180834,0.491464319,-0.117283485,"BGD",-0.313440616399295,1546.41519746195
"Bangladesh",1991,108509999.951231,0.365166031,0.476122622,-0.110956591,"BGD",-0.303852387364728,1558.39240736525
"Bangladesh",1992,110986999.964942,0.368999203,0.487128994,-0.118129791,"BGD",-0.320135653410631,1524.42964408812
"Bangladesh",1993,113442000.121866,0.353840912,0.473190727,-0.119349815,"BGD",-0.337297883390589,1543.52896129404
"Bangladesh",1994,115914000.101821,0.339442979,0.464719713,-0.125276734,"BGD",-0.369065579143808,1562.26690676122
"Bangladesh",1995,118428000.054599,0.333312028,0.486231709,-0.152919681,"BGD",-0.458788331162245,1462.42837690344
"Bangladesh",1996,120986999.997645,0.344622499,0.504134601,-0.159512102,"BGD",-0.46286037620875,1412.63850190009
"Bangladesh",1997,123574000.100004,0.341762251,0.514698872,-0.172936621,"BGD",-0.506014488141976,1371.19239346538
"Bangladesh",1998,126170000.056924,0.353477755,0.52350406,-0.170026305,"BGD",-0.481010007532016,1338.76857284403
"Bangladesh",1999,128745999.953804,0.375276611,0.573167443,-0.197890832,"BGD",-0.527319808180957,1209.91512373174
"Bangladesh",2000,131281000.081469,0.38600919,0.571823094,-0.185813904,"BGD",-0.481371725890775,1196.48398229278
"Bangladesh",2001,133775999.928242,0.370747992,0.579060252,-0.20831226,"BGD",-0.561870369142123,1173.31470068834
"Bangladesh",2002,136228000.029189,0.377680758,0.580488952,-0.202808194,"BGD",-0.536983244791183,1155.46998283344
"Bangladesh",2003,138599999.889208,0.366461937,0.583072411,-0.216610474,"BGD",-0.591085830086475,1133.57403931313
"Bangladesh",2004,140843999.994974,0.355184662,0.58103043,-0.225845768,"BGD",-0.635854431325947,1147.23476583153
"Bangladesh",2005,142929999.975176,0.364913348,0.606279285,-0.241365937,"BGD",-0.661433597866452,1079.58686324933
"Bangladesh",2006,144839000.056367,0.367003551,0.632262799,-0.265259248,"BGD",-0.722770256581987,1024.67278561225
"Bangladesh",2007,146592999.893911,0.37422145,0.664510129,-0.290288679,"BGD",-0.775713551427904,966.81106904169
"Bangladesh",2008,148252000.003565,0.397363747,0.669817181,-0.272453434,"BGD",-0.685652503531085,962.872656726343
"Bangladesh",2009,149906000.087981,0.39372434,0.703968744,-0.310244404,"BGD",-0.787973534986432,900.595949202003
"Bangladesh",2010,151616999.969198,0.407303728,0.748260744,-0.340957016,"BGD",-0.83710740876348,840.351261973267
"Bangladesh",2011,153405999.978851,0.401738537,0.770640683,-0.368902146,"BGD",-0.918264301951214,808.819799505788
"Bangladesh",2012,155257000.079369,0.390606223,0.744648914,-0.354042691,"BGD",-0.906392837267159,823.091453086146
"Bangladesh",2013,157157000.136833,0.404266843,0.770067297,-0.365800454,"BGD",-0.904849034860242,801.376004285599
"Bangladesh",2014,159078000.036027,0.409146356,0.794628274,-0.385481918,"BGD",-0.942161479818615,772.620155864069
