country,year,population,BiocapPerCap,footprint,deficit,id,ratio,overshoot_day
United Kingdom,1961,52765898.4312082,1.021110629,6.150194945,-5.129084316,GBR,-6.023044633273479,185.49537205804648
United Kingdom,1962,53146601.5689402,1.058853028,6.328042815,-5.269189787,GBR,-5.976318356476725,177.95821897411946
United Kingdom,1963,53537800.7739998,1.04727378,6.477465144,-5.430191364,GBR,-6.1850733052822155,170.52726623644796
United Kingdom,1964,53920101.5687506,1.063643706,6.592741131,-5.529097425,GBR,-6.1982607879098905,165.10252638162905
United Kingdom,1965,54278300.7798319,1.095682404,6.705148405,-5.609466001,GBR,-6.1196094780750325,159.52448497262193
United Kingdom,1966,54606601.5548546,1.062927702,6.528285525,-5.465357823,GBR,-6.141796379941929,162.36197833259592
United Kingdom,1967,54904699.2169125,1.112685869,6.57464692,-5.461961051,GBR,-5.908807757215431,158.69940072066836
United Kingdom,1968,55171101.5654077,1.048837791,6.747606822,-5.698769031,GBR,-6.433413121012735,151.84042588699745
United Kingdom,1969,55406398.4350875,1.07333844,6.952512574,-5.879174134,GBR,-6.477465392928629,144.58363567223165
United Kingdom,1970,55611398.4417782,1.054624527,7.079328453,-6.024703926,GBR,-6.712652985608063,139.90302892852054
United Kingdom,1971,55785300.7706059,1.084016231,6.934467479,-5.850451248,GBR,-6.397014461674619,141.16460808562445
United Kingdom,1972,55927500.0007092,1.095661248,6.895005364,-5.799344116,GBR,-6.293008354543888,138.56594404842673
United Kingdom,1973,56039199.2180599,1.082924324,7.080253682,-5.997329358,GBR,-6.538087259874263,133.82511636765219
United Kingdom,1974,56122398.4325424,1.106216564,6.602012356,-5.495795792,GBR,-5.968101218806559,139.96458363513526
United Kingdom,1975,56179898.4314711,1.049780863,6.064540925,-5.014760062,GBR,-5.776958916930529,149.92190887194778
United Kingdom,1976,56212898.4453901,1.006049709,6.276486658,-5.270436949,GBR,-6.238744107386105,143.31981691206323
United Kingdom,1977,56224898.4281643,1.12333497,6.226082216,-5.102747246,GBR,-5.542498334223495,142.08828291971474
United Kingdom,1978,56224000.0117114,1.114154188,6.153310464,-5.039156276,GBR,-5.522853618671936,143.32153393201918
United Kingdom,1979,56220101.5643724,1.150810479,6.438180283,-5.287369804,GBR,-5.594474860882393,134.34720690953623
United Kingdom,1980,56221500.002249,1.199549556,5.780657693,-4.581108137,GBR,-4.8190236508444055,147.00589544594553
United Kingdom,1981,56231000.0108676,1.206128101,5.563592327,-4.357464226,GBR,-4.612770650149018,151.56055793304625
United Kingdom,1982,56250101.5638883,1.278974697,5.519432244,-4.240457547,GBR,-4.315513199752895,151.65543369569792
United Kingdom,1983,56284000.0063645,1.23787182,5.36095157,-4.12307975,GBR,-4.330780871964595,152.39764152226257
United Kingdom,1984,56337800.788571,1.399630509,5.37338568,-3.973755171,GBR,-3.8391458757211576,152.01720220456167
United Kingdom,1985,56415199.2137154,1.308454527,5.521449252,-4.212994725,GBR,-4.2198251245306935,146.47512495858652
United Kingdom,1986,56519398.4376087,1.355001523,5.738126402,-4.383124879,GBR,-4.234774880547735,138.91837466407154
United Kingdom,1987,56649398.430922,1.31156993,5.873176131,-4.561606201,GBR,-4.47797404138413,133.5325679124452
United Kingdom,1988,56797699.2186681,1.299346987,6.080663732,-4.781316745,GBR,-4.679784343056815,125.5718356460003
United Kingdom,1989,56953898.4386444,1.324270268,5.923331943,-4.599061675,GBR,-4.472902574487306,128.64499147262032
